Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 19:11:34,"b""RT @PMNehru: Though India has been ousted from the world cup, Savarkar is telling everyone that 'Our team will win the final'. I can't unde\xe2\x80\xa6""",b'ThalaKhan01',[],860
2020-06-16 05:20:07,"b'Unpopular opinion: Eventhough New Zealand were unlucky in the final of the 2019 World Cup, they were lucky to get t\xe2\x80\xa6 https://t.co/sLImEr0ddI'",b'TheSilentFalse9',[],621
2020-06-16 02:49:02,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'NirajK07Cricket',[],383
2020-06-15 14:34:28,"b'RT @CogenhoeCC: ReMade: Cricket World Cup Final 2019. No points for guessing the year or the teams, but can you name any of the players rep\xe2\x80\xa6'",b'MarkBir13002543',[],18
2020-06-15 12:01:00,"b'RT @CogenhoeCC: ReMade: Cricket World Cup Final 2019. No points for guessing the year or the teams, but can you name any of the players rep\xe2\x80\xa6'",b'mmorrissey72',[],132
2020-06-15 11:14:21,"b'RT @CogenhoeCC: ReMade: Cricket World Cup Final 2019. No points for guessing the year or the teams, but can you name any of the players rep\xe2\x80\xa6'",b'matthewirons1',[],95
2020-06-15 11:00:00,"b'ReMade: Cricket World Cup Final 2019. No points for guessing the year or the teams, but can you name any of the pla\xe2\x80\xa6 https://t.co/HzxaNPDEQC'",b'CogenhoeCC',[],586
2020-06-13 09:22:50,b'@JimmyNeesh When we will see our favorite @JimmyNeesh live in the cricket ground again? \nYou were one of the reason\xe2\x80\xa6 https://t.co/1PpqmjUViY',b'DocSafi_',[],97
2020-06-11 14:28:09,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'Rian05751589',[],9
2020-06-11 12:17:04,"b'RT @ICC: Exactly 24 hours ago, England were crowned world champions, after the final to end all finals.\n\nRe-live the greatest finish of all\xe2\x80\xa6'",b'AayushAgarwal99',[],22
2020-06-11 11:08:46,b'RT @cricketworldcup: The greatest cricketer of all time - and Sachin Tendulkar \xf0\x9f\x98\x89\n\n#CWC19Final https://t.co/fQBmfrJoCJ',b'Ishtiyak55',['CWC19Final'],880
2020-06-09 10:36:37,b'RT @Kimhawksworth: Nail biting day for British sport today! #WimbledonFinal #CWC19Final \xf0\x9f\x8f\x8f\xf0\x9f\x8e\xbe',b'saynuasi1',"['WimbledonFinal', 'CWC19Final']",53
