Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 15:53:52,b'My normal cutshot\n\n#SachinTendulkar\n#davidwarner \n#ViratKohli https://t.co/AzHUG4Q96m',b'Deekshi72410582',"['SachinTendulkar', 'davidwarner', 'ViratKohli']",0
2020-06-16 12:37:21,b'RT @ipl_virtual: This is #VirtualIPL Day19 Match37...\n#SRHvsCSK #SRH #SunrisersHyderabad #CSK #ChennaiSuperKings #DavidWarner #MSDhoni #IPL\xe2\x80\xa6',b'NellaiMadhavan1',"['VirtualIPL', 'SRHvsCSK', 'SRH', 'SunrisersHyderabad', 'CSK', 'ChennaiSuperKings', 'DavidWarner', 'MSDhoni', 'IPL']",270
2020-06-16 12:23:53,b'RT @TentaranSports: Who is your favorite?\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#Mitc\xe2\x80\xa6',b'iampavankumar01',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",127
2020-06-16 11:56:10,b'RT @ipl_virtual: This is #VirtualIPL Day19 Match37...\n#SRHvsCSK #SRH #SunrisersHyderabad #CSK #ChennaiSuperKings #DavidWarner #MSDhoni #IPL\xe2\x80\xa6',b'rkydotcom',"['VirtualIPL', 'SRHvsCSK', 'SRH', 'SunrisersHyderabad', 'CSK', 'ChennaiSuperKings', 'DavidWarner', 'MSDhoni', 'IPL']",256
2020-06-16 11:54:38,b'RT @ipl_virtual: This is #VirtualIPL Day19 Match37...\n#SRHvsCSK #SRH #SunrisersHyderabad #CSK #ChennaiSuperKings #DavidWarner #MSDhoni #IPL\xe2\x80\xa6',b'SingalDhwani',"['VirtualIPL', 'SRHvsCSK', 'SRH', 'SunrisersHyderabad', 'CSK', 'ChennaiSuperKings', 'DavidWarner', 'MSDhoni', 'IPL']",55
2020-06-16 11:31:07,b'Who is your favorite?\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/44FVcK8sf4',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 10:32:14,b'RT @SportsUnplugge1: Who is the best opener in the ODIs right now? (Drop a comment if you think of someone else) Rts appreciated :)\n#Cricke\xe2\x80\xa6',b'charanjot22',[],88
2020-06-16 10:01:25,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/cD931X6MsW',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-16 09:30:42,b'Old memories\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/SPj9Xwhavh',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 07:30:41,b'Who is your favorite?\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/i3q26Y8BdC',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 06:57:12,b'@steve_smith49 picks @royalnavghan as the current best fielder.\n\n#Cricket #SteveSmith #RavindraJadeja #cricketworld\xe2\x80\xa6 https://t.co/HLVuzHvZb8',b'cricsize',"['Cricket', 'SteveSmith', 'RavindraJadeja', 'cricketworld']",4
2020-06-16 06:45:01,b'Who is the best opener in the ODIs right now? (Drop a comment if you think of someone else) Rts appreciated :)\xe2\x80\xa6 https://t.co/Zdgceisepc',b'SportsUnplugge1',[],4
2020-06-16 06:28:51,b'RT @ipl_virtual: This is #VirtualIPL Day19 Match37...\n#SRHvsCSK #SRH #SunrisersHyderabad #CSK #ChennaiSuperKings #DavidWarner #MSDhoni #IPL\xe2\x80\xa6',b'CricketPolls77',"['VirtualIPL', 'SRHvsCSK', 'SRH', 'SunrisersHyderabad', 'CSK', 'ChennaiSuperKings', 'DavidWarner', 'MSDhoni', 'IPL']",1
2020-06-16 06:01:07,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/MdRQtpsMzW',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-16 05:30:30,b'Most runs as captain\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/BXSd3QvtY8',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 04:36:06,b'RT @Cricketracker: Spot three differences in this image. @davidwarner31 \n\n#DavidWarner #Difference #Games #CricketGame #Cricket #CricTracke\xe2\x80\xa6',b'AVINASH49465394',"['DavidWarner', 'Difference', 'Games', 'CricketGame', 'Cricket']",539
2020-06-16 04:20:05,b'RT @ipl_virtual: This is #VirtualIPL Day19 Match37...\n#SRHvsCSK #SRH #SunrisersHyderabad #CSK #ChennaiSuperKings #DavidWarner #MSDhoni #IPL\xe2\x80\xa6',b'dGujaratLionsFC',"['VirtualIPL', 'SRHvsCSK', 'SRH', 'SunrisersHyderabad', 'CSK', 'ChennaiSuperKings', 'DavidWarner', 'MSDhoni', 'IPL']",3416
2020-06-16 04:00:51,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/VhjJ6jHGqz',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
