Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 19:53:54,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'myselfshubham49',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",3
2020-06-16 19:41:01,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'mockery_pot',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",23
2020-06-16 19:37:37,"b""On this day: Rohit's masterful 140 blows Pakistan away in a World Cup tie #RohitSharma #Pakistan #NewDelhi https://t.co/tqYGCI0RNd""",b'TheHansIndiaWeb',"['RohitSharma', 'Pakistan', 'NewDelhi']",5484
2020-06-16 19:03:59,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'NewtonSanuth',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",164
2020-06-16 18:58:37,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'27_pratik',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",42
2020-06-16 18:47:58,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'agre_sushant',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",26
2020-06-16 18:39:06,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'Neelangshu2',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",27
2020-06-16 18:34:21,"b'RT @cricbuzz: Watch #GuezzzThattt to know the record achieved by #KLRahul in 2016, #ImamulHaq in 2017 and #MartinGuptill in 2009, a rare ev\xe2\x80\xa6'",b'willowtv_canada',"['GuezzzThattt', 'KLRahul', 'ImamulHaq', 'MartinGuptill']",236
2020-06-16 18:30:13,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'PrawinSachinist',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",668
2020-06-16 18:20:15,"b'RT @TrendsRohit: On This Day Last Year, Hitman Scored His 24th ODI Hundred Off Just 85 Balls Vs Pakistan In #CWC19. Rohit Scored 140(113) 1\xe2\x80\xa6'",b'PowerSt32271599',['CWC19'],22
2020-06-16 18:20:06,"b'RT @cricbuzz: Watch #GuezzzThattt to know the record achieved by #KLRahul in 2016, #ImamulHaq in 2017 and #MartinGuptill in 2009, a rare ev\xe2\x80\xa6'",b'willowtv',"['GuezzzThattt', 'KLRahul', 'ImamulHaq', 'MartinGuptill']",4059
2020-06-16 18:18:54,"b""RT @cricbuzz: It had the trademark @ImRo45 pull shots, a memorable upper-cut 6\xe2\x83\xa3 and other shots we've been accustomed to.\n\nYet, #OnThisDay\xe2\x80\xa6""",b'willowtv',['OnThisDay'],4059
2020-06-16 18:18:42,"b""RT @TrendsRohit: Guys Are You Ready For Our Trend?\n\n13 Years Of Rohit Sharma Trend On 22nd June 6PM, Drop A Reply Here Let's See How Many O\xe2\x80\xa6""",b'PowerSt32271599',[],22
2020-06-16 18:09:44,"b'RT @TrendsRohit: On This Day Last Year, Hitman Scored His 24th ODI Hundred Off Just 85 Balls Vs Pakistan In #CWC19. Rohit Scored 140(113) 1\xe2\x80\xa6'",b'arunsaimj',['CWC19'],547
2020-06-16 18:02:34,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'BASEERA16893983',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",57
2020-06-16 17:56:42,b'RT @MGR_VJ: Vadachennai ft \xf0\x9f\x94\xa5\n\nAnbu ( @ImRo45 ) becomes Rajan ( @sachin_rt )\n\nSame shot against PAK \n\nCWC 2019 memories \xf0\x9f\x94\xa5\n\n#Hitman #Sachin\n#\xe2\x80\xa6',b'Siddharthr091',"['Hitman', 'Sachin']",467
2020-06-16 17:56:32,"b""RT @TrendsRohit: Guys Are You Ready For Our Trend?\n\n13 Years Of Rohit Sharma Trend On 22nd June 6PM, Drop A Reply Here Let's See How Many O\xe2\x80\xa6""",b'arunsaimj',[],547
2020-06-16 17:54:56,b'RT @Cricketracker: The day when @ImRo45 took us down the memory lane. @sachin_rt\n\n#Cricket #RohitSharma #SachinTendulkar #WorldCup #CricTra\xe2\x80\xa6',b'NithinK50588596',"['Cricket', 'RohitSharma', 'SachinTendulkar', 'WorldCup']",50
2020-06-16 17:52:46,"b""RT @rohittv_45: World Cup 2019: Here's a list of records created by Rohit Sharma after his 140 against Pakistan in Manchester\n\n1. Rohit Sha\xe2\x80\xa6""",b'Praveen83035836',[],1202
2020-06-16 17:49:21,b'New ideas will be applied to cricket.\n#cricket - 43%\n#ipl - 10%\n#viratkohli - 8%\n#india - 6%\n#rohitsharma - 5%\xe2\x80\xa6 https://t.co/74jD45Kw8q',b'Boyfashion8',"['cricket', 'ipl', 'viratkohli', 'india', 'rohitsharma']",4
