Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 20:07:54,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'Akashmu58057061',['TeamIndia'],23
2020-06-16 19:56:57,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'abhi_chinta',['TeamIndia'],360
2020-06-16 19:48:58,"b""RT @cricbuzz: Get to know #KarunNair off the field thanks to his friends, who don't hold back while talking about the batsman on #SpicyPitc\xe2\x80\xa6""",b'bot_cricket',['KarunNair'],43
2020-06-16 19:45:06,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'BalachandarKan3',['TeamIndia'],7
2020-06-16 19:42:08,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'mumaralid',['TeamIndia'],467
2020-06-16 19:39:23,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'itzAsuran',['TeamIndia'],2609
2020-06-16 19:34:02,"b""RT @khurafatijaat: Dear Pseudo Bhakts, Calm the fu\xc2\xa2k down !!\nTheir's a fine difference between being a Nationalist and being a Patriot. And\xe2\x80\xa6""",b'Proudly__Indian',[],75
2020-06-16 19:32:41,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'bittunikhil0',['TeamIndia'],69
2020-06-16 19:27:52,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'ThorWakanda23',['TeamIndia'],105
2020-06-16 19:26:52,b'RT @thebharatarmy: \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #CWC19Rewind : Some sensational power-hitting from the boys helps them post a mammoth total in the first innings. Com\xe2\x80\xa6',b'pnishant28',['CWC19Rewind'],44
2020-06-16 19:07:48,b'RT @StarSportsIndia: #Throwback to 7\xe2\x83\xa3th heaven at the ICC #CWC19 after another #INDvPAK victory!\n\nWhat was your favourite moment of the mat\xe2\x80\xa6',b'DiscipleOfStar',"['Throwback', 'CWC19', 'INDvPAK']",1636
2020-06-16 19:05:47,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'paviviratian',['TeamIndia'],380
2020-06-16 19:04:57,b'RT @StarSportsIndia: #Throwback to 7\xe2\x83\xa3th heaven at the ICC #CWC19 after another #INDvPAK victory!\n\nWhat was your favourite moment of the mat\xe2\x80\xa6',b'Iyyappa28889234',"['Throwback', 'CWC19', 'INDvPAK']",330
2020-06-16 19:01:41,"b'@ApoorvParihar2 @globaltimesnews Indians gat what it takes, just use your powers (voodoo) and wipe them Chinese products off. #teamIndia'",b'LadyAnn57',['teamIndia'],8
2020-06-16 19:01:25,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'AlokCha86495613',['TeamIndia'],76
2020-06-16 18:59:00,b'India and China @ war?\nAll India has to do is use their spiritual powers (voodoo) and the whole of China will go bl\xe2\x80\xa6 https://t.co/tzYkHctdhQ',b'LadyAnn57',[],8
2020-06-16 18:54:27,b'@CNN All India has to do is use their spiritual charm (voodoo) and China will go blind throughout the war.\n#teamIndia \xf0\x9f\x92\xaa',b'LadyAnn57',['teamIndia'],8
2020-06-16 18:48:35,b'Latest podcast on #BCCI and #teamindia and what makes them tick. Have a listen. \n\nMissed you 2 @ahmedwaqas992 and\xe2\x80\xa6 https://t.co/2rEHsyvVYB',b'HasaanSaeed',"['BCCI', 'teamindia']",292
2020-06-16 18:43:58,"b""RT @khurafatijaat: Dear Pseudo Bhakts, Calm the fu\xc2\xa2k down !!\nTheir's a fine difference between being a Nationalist and being a Patriot. And\xe2\x80\xa6""",b'TheDrunkRider',[],223
2020-06-16 18:42:32,b'RT @KKRiders: #OnThisDay in 2019\n \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 \xe2\x9a\x94\xef\xb8\x8f \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\n\nB. Azam b Kuldeep (48)\nRate this on a scale of 1\xe2\x83\xa3 to 1\xe2\x83\xa30\xe2\x83\xa3 \xe2\x9a\xa1\n\nStay tuned to our fleets Today to\xe2\x80\xa6',b'Alenushka4848',['OnThisDay'],146
2020-06-16 18:41:37,"b""RT @cricbuzz: Get to know #KarunNair off the field thanks to his friends, who don't hold back while talking about the batsman on #SpicyPitc\xe2\x80\xa6""",b'rkydotcom',['KarunNair'],256
2020-06-16 18:40:30,"b'#TeamIndia I\xe2\x80\x99m with you, Howdy @PMOIndia'",b'BitcoinKcmo',['TeamIndia'],134
2020-06-16 18:40:26,"b""RT @DivyanshuShubh1: I don't if you're are from right wing or Left wing.Just stay together.Keep supporting our #Soldiers and @PMOIndia.\nWe\xe2\x80\xa6""",b'sahilsid18',['Soldiers'],10
2020-06-16 18:39:37,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'KoustavTaladhi',['TeamIndia'],3
2020-06-16 18:34:30,"b""RT @cricbuzz: Get to know #KarunNair off the field thanks to his friends, who don't hold back while talking about the batsman on #SpicyPitc\xe2\x80\xa6""",b'willowtv_canada',['KarunNair'],236
2020-06-16 18:34:21,"b'RT @cricbuzz: Watch #GuezzzThattt to know the record achieved by #KLRahul in 2016, #ImamulHaq in 2017 and #MartinGuptill in 2009, a rare ev\xe2\x80\xa6'",b'willowtv_canada',"['GuezzzThattt', 'KLRahul', 'ImamulHaq', 'MartinGuptill']",236
2020-06-16 18:34:11,"b'RT @cricbuzz: Punctual - Always\nGives a compliment - Never\xc2\xa0\nShare food - Never\nWatch the latest episode of #SpicyPitch to know @Karun126, t\xe2\x80\xa6'",b'willowtv_canada',['SpicyPitch'],236
2020-06-16 18:33:51,"b'RT @cricbuzz: Up Next on #CricbuzzInConversation, India\xe2\x80\x99s premier spinner @ashwinravi99 opens up on the various aspects of his life with #T\xe2\x80\xa6'",b'willowtv_canada',['CricbuzzInConversation'],236
2020-06-16 18:33:09,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'BawanthaSandu',['TeamIndia'],12
2020-06-16 18:30:30,b'RT @KKRiders: #OnThisDay in 2019\n \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 \xe2\x9a\x94\xef\xb8\x8f \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\n\nB. Azam b Kuldeep (48)\nRate this on a scale of 1\xe2\x83\xa3 to 1\xe2\x83\xa30\xe2\x83\xa3 \xe2\x9a\xa1\n\nStay tuned to our fleets Today to\xe2\x80\xa6',b'Cheftimmy76',['OnThisDay'],620
2020-06-16 18:30:01,"b""RT @BCCI: Here's a little something to light up your day \xf0\x9f\x99\x8c\n\nWhich is that one #TeamIndia Test knock from 2019 you'd want to relive\xe2\x9d\x93\nPick yo\xe2\x80\xa6""",b'willowtv',['TeamIndia'],4059
2020-06-16 18:24:43,b'RT @KKRiders: #OnThisDay in 2019\n \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 \xe2\x9a\x94\xef\xb8\x8f \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0\n\nB. Azam b Kuldeep (48)\nRate this on a scale of 1\xe2\x83\xa3 to 1\xe2\x83\xa30\xe2\x83\xa3 \xe2\x9a\xa1\n\nStay tuned to our fleets Today to\xe2\x80\xa6',b'willowtv',['OnThisDay'],4059
2020-06-16 18:20:13,"b""RT @cricbuzz: Get to know #KarunNair off the field thanks to his friends, who don't hold back while talking about the batsman on #SpicyPitc\xe2\x80\xa6""",b'willowtv',['KarunNair'],4059
2020-06-16 18:20:06,"b'RT @cricbuzz: Watch #GuezzzThattt to know the record achieved by #KLRahul in 2016, #ImamulHaq in 2017 and #MartinGuptill in 2009, a rare ev\xe2\x80\xa6'",b'willowtv',"['GuezzzThattt', 'KLRahul', 'ImamulHaq', 'MartinGuptill']",4059
