Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 14:53:33,"b""Virat Kohli's ODI Stats against different type of Bowlers\n\nFast Bowlers: Average - 71 SR- 95\n\nMedium Pacers: Averag\xe2\x80\xa6 https://t.co/QC8OaSL1BN""",b'Joeys_Chandler',[],124
2020-06-16 14:36:15,b'https://t.co/hJzAsCsjme (click on the link for full blog post \xf0\x9f\x8f\x8f \xf0\x9f\x8f\x8f)(IPL 2020 for September 26 \xf0\x9f\x92\x9b\xf0\x9f\x92\x99)\n#IPL2020 #CSK\xe2\x80\xa6 https://t.co/0XI2sk9uRv',b'Srimuhan3',"['IPL2020', 'CSK']",23
2020-06-16 14:00:00,b'Here are the most popular athletes on Twitter right now.\n#Athletes #Most_Popular #Famous_Athletes #Sportsmen\xe2\x80\xa6 https://t.co/gE0NO5HfKV',b'sporteology',"['Athletes', 'Most_Popular', 'Famous_Athletes', 'Sportsmen']",260
2020-06-16 12:52:56,b'RT @StayAwayBaba: Those tactics have worked so many times for Kohli. Plays like he\xe2\x80\x99s about to throw his wicket  then SUDDENLY he\xe2\x80\x99s ok again\xe2\x80\xa6',b'UmeshMahalik1',[],41
2020-06-16 12:23:53,b'RT @TentaranSports: Who is your favorite?\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#Mitc\xe2\x80\xa6',b'iampavankumar01',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",127
2020-06-16 11:35:26,b'RT @WasimJaffer14: All time India ODI XI\n1 @sachin_rt\n2 @SGanguly99\n3 @ImRo45\n4 @imVkohli\n5 @YUVSTRONG12\n6 @msdhoni (wk/c)\n7 @therealkapild\xe2\x80\xa6',b'Vinayblues1',[],31
2020-06-16 11:31:07,b'Who is your favorite?\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/44FVcK8sf4',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 11:08:58,"b""Team India's best and worst in one frame\n\n#India #Kohli #ViratKohli https://t.co/akil0puh8z""",b'faceplatter49',"['India', 'Kohli', 'ViratKohli']",60
2020-06-16 10:06:00,"b'RT @TheVIRATism: Age is just a number, passion takes you leaps &amp; bounds. With her blessings, on to the next one.  \xe2\x99\xa5\n#ViratKohli #TeamIndia\xe2\x80\xa6'",b'Preethi_70',"['ViratKohli', 'TeamIndia']",208
2020-06-16 10:04:43,"b'On this day in 2011 virat kohli completed 2000 odi Runs in 53 innings (second fastest Indian) \n\nAlso completed 11,0\xe2\x80\xa6 https://t.co/di6MyIid3y'",b'am_i_anup',[],325
2020-06-16 10:01:25,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/cD931X6MsW',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-16 09:30:42,b'Old memories\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/SPj9Xwhavh',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 09:09:00,b'Here is my New Article on:- Remembering Sushant: Why MS Dhoni Was The Best Cricket Biopic of all Times\n\nClick Here:\xe2\x80\xa6 https://t.co/v60F9B7vVZ',b'ProGuruRaj',[],2
2020-06-16 08:37:46,b'My All Time ODI Team \n#Sachin \n#Rohit \n#Kohli (C) \n#ABD\n#Me \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\n#MSDhoni (WK)\n#Hardic \n#Jadeja \n#RashidKhan \n#Starc\xe2\x80\xa6 https://t.co/u4Nqk0nT1K',b'Cherry_Keerthy',"['Sachin', 'Rohit', 'Kohli', 'ABD', 'Me', 'MSDhoni', 'Hardic', 'Jadeja', 'RashidKhan', 'Starc']",178
2020-06-16 08:31:42,b'RT @imReal_Narayan: Which cricketer has huge fan base ?\n\nLike : #Kohli \n\nRetweet : #Dhoni https://t.co/haSvI3ItXK',b'Pavan10508268',"['Kohli', 'Dhoni']",1
2020-06-16 08:05:33,b'Pencil art of @imVkohli  #ViratKohli #art #artist #kohli #cricket https://t.co/tKmNOI8Ft3',b'prithvichanderd',"['ViratKohli', 'art', 'artist', 'kohli', 'cricket']",1
2020-06-16 07:30:41,b'Who is your favorite?\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/i3q26Y8BdC',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 06:01:07,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/MdRQtpsMzW',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-16 05:30:30,b'Most runs as captain\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/BXSd3QvtY8',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-16 04:00:51,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/VhjJ6jHGqz',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-16 03:58:50,"b'RT @TheVIRATism: Age is just a number, passion takes you leaps &amp; bounds. With her blessings, on to the next one.  \xe2\x99\xa5\n#ViratKohli #TeamIndia\xe2\x80\xa6'",b'King29451295',"['ViratKohli', 'TeamIndia']",847
2020-06-16 03:41:02,"b'RT @TheVIRATism: Age is just a number, passion takes you leaps &amp; bounds. With her blessings, on to the next one.  \xe2\x99\xa5\n#ViratKohli #TeamIndia\xe2\x80\xa6'",b'Thamizh1218',"['ViratKohli', 'TeamIndia']",342
2020-06-16 03:30:26,b'Most innings without duck\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner\xe2\x80\xa6 https://t.co/URSVBZkRMx',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner']",1058
2020-06-16 03:30:08,"b'RT @TheVIRATism: Age is just a number, passion takes you leaps &amp; bounds. With her blessings, on to the next one.  \xe2\x99\xa5\n#ViratKohli #TeamIndia\xe2\x80\xa6'",b'freak_Tamilan',"['ViratKohli', 'TeamIndia']",298
2020-06-16 03:18:15,"b'RT @TheVIRATism: Age is just a number, passion takes you leaps &amp; bounds. With her blessings, on to the next one.  \xe2\x99\xa5\n#ViratKohli #TeamIndia\xe2\x80\xa6'",b'Rhino_offl',"['ViratKohli', 'TeamIndia']",645
2020-06-16 02:43:05,"b'RT @TheVIRATism: Age is just a number, passion takes you leaps &amp; bounds. With her blessings, on to the next one.  \xe2\x99\xa5\n#ViratKohli #TeamIndia\xe2\x80\xa6'",b'KarthickS_31',"['ViratKohli', 'TeamIndia']",2160
2020-06-16 02:42:09,"b'Age is just a number, passion takes you leaps &amp; bounds. With her blessings, on to the next one.  \xe2\x99\xa5\n#ViratKohli\xe2\x80\xa6 https://t.co/7B1uSBkxjI'",b'TheVIRATism',['ViratKohli'],216
2020-06-16 02:37:04,"b""And he got 199 Runs from 5 innings against windies, played 249 balls \nDYK \nHis 199 Runs included \n100 Single's that\xe2\x80\xa6 https://t.co/0q3B0NkFAJ""",b'am_i_anup',[],325
2020-06-16 02:32:38,"b""On this day in 2011 \n\nVirat kohli registerd his first 90's \nIn odi cricket (got out on 90's) \n94 Runs \n104 balls  (\xe2\x80\xa6 https://t.co/oj9eUpW2Ly""",b'am_i_anup',[],325
2020-06-16 02:01:04,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/dGZj3fWmlA',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-16 01:30:28,b'Most Runs as wicket keeper\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner\xe2\x80\xa6 https://t.co/gSdKhDMrDJ',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner']",1058
2020-06-15 16:33:41,b'RT @editorji: Find out why #Gambhir\xc2\xa0feels #Kohli\xc2\xa0has achieved nothing as a leader!\n\nhttps://t.co/jqhMcADYhx',b'chawla_yash',"['Gambhir', 'Kohli']",702
2020-06-15 16:30:00,b'Find out why #Gambhir\xc2\xa0feels #Kohli\xc2\xa0has achieved nothing as a leader!\n\nhttps://t.co/jqhMcADYhx',b'editorji',"['Gambhir', 'Kohli']",26470
2020-06-15 16:02:31,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/PEtKwAZhl7',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-15 15:13:24,b'RT @teambangaloreIN: From 0\xef\xb8\x8f\xe2\x83\xa3 to \xf0\x9f\x92\xaf real quick!\n\n\xf0\x9f\x93\xb8 IPL | #viratkohli #kohli #virat #chrisgayle #davidwarner #shikhardhawan #teamindia #rcb #\xe2\x80\xa6',b'teamhyderabadIN',"['viratkohli', 'kohli', 'virat', 'chrisgayle', 'davidwarner', 'shikhardhawan', 'teamindia', 'rcb']",88
2020-06-15 15:11:03,b'From 0\xef\xb8\x8f\xe2\x83\xa3 to \xf0\x9f\x92\xaf real quick!\n\n\xf0\x9f\x93\xb8 IPL | #viratkohli #kohli #virat #chrisgayle #davidwarner #shikhardhawan #teamindia\xe2\x80\xa6 https://t.co/tUXhkH1OOa',b'teambangaloreIN',"['viratkohli', 'kohli', 'virat', 'chrisgayle', 'davidwarner', 'shikhardhawan', 'teamindia']",502
2020-06-15 15:02:18,b'Which of these is your favorite? \xf0\x9f\x98\x80\n.\n.\n.\n#Howzat #JantaKiRai #cricket #fantasysports #fantasycricket #sports\xe2\x80\xa6 https://t.co/plENOyQmq3',b'JinuTalks',"['Howzat', 'JantaKiRai', 'cricket', 'fantasysports', 'fantasycricket', 'sports']",3189
2020-06-15 15:01:09,b'Which of these is your favorite? \xf0\x9f\x98\x80\n.\n.\n.\n#Howzat #JantaKiRai #cricket #fantasysports #fantasycricket #sports\xe2\x80\xa6 https://t.co/KheC44Ze3A',b'officialhowzat',"['Howzat', 'JantaKiRai', 'cricket', 'fantasysports', 'fantasycricket', 'sports']",1257
2020-06-15 14:46:33,b'Sportspersons are also not immune to mental health issues. It is important to speak out and get the important remed\xe2\x80\xa6 https://t.co/hIRLdZ8Gat',b'sportswetweets',[],5
2020-06-15 14:46:06,"b'#ViratKohli has done nothing as a leader, says #GautamGambhir \xf0\x9f\x98\xaf\n\n#kohli #TeamIndia https://t.co/fkAqL0nnfq'",b'IndiaSportscafe',"['ViratKohli', 'GautamGambhir', 'kohli', 'TeamIndia']",1467
2020-06-15 14:45:28,b'Best Bowling\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/zo1iB9WKEL',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-15 14:43:49,b'RT @teambangaloreIN: \xf0\x9f\x92\xa5 Mr. 360 clearly came out on \xf0\x9f\x94\x9d in this battle!\n\n\xf0\x9f\x93\xb8 BCCI/MI | #abdevilliers #devilliers #viratkohli #kohli #lasithmalin\xe2\x80\xa6',b'KarthickS_31',"['abdevilliers', 'devilliers', 'viratkohli', 'kohli']",2160
2020-06-15 14:07:06,b'RT @teambangaloreIN: \xf0\x9f\x92\xa5 Mr. 360 clearly came out on \xf0\x9f\x94\x9d in this battle!\n\n\xf0\x9f\x93\xb8 BCCI/MI | #abdevilliers #devilliers #viratkohli #kohli #lasithmalin\xe2\x80\xa6',b'pawanismvikas',"['abdevilliers', 'devilliers', 'viratkohli', 'kohli']",42
2020-06-15 14:02:28,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/gtn71EtALJ',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-15 13:42:04,"b'RT @indusscrolls: \xe2\x80\x9cI talked to Kohli\xe2\x80\x99s Ex-Girlfriend, he didn\xe2\x80\x99t like it,\xe2\x80\x9d Former England player @imVkohli #ViratKohli #kohli #KohliIzabelle\xe2\x80\xa6'",b'Sreedath',"['ViratKohli', 'kohli', 'KohliIzabelle']",481
2020-06-15 13:30:32,b'Most Runs in Australia\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/YD5sKAiFsQ',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-15 13:09:50,b'RT @teambangaloreIN: \xf0\x9f\x92\xa5 Mr. 360 clearly came out on \xf0\x9f\x94\x9d in this battle!\n\n\xf0\x9f\x93\xb8 BCCI/MI | #abdevilliers #devilliers #viratkohli #kohli #lasithmalin\xe2\x80\xa6',b'SumitDh28139555',"['abdevilliers', 'devilliers', 'viratkohli', 'kohli']",44
2020-06-15 13:00:15,b'RT @teambangaloreIN: \xf0\x9f\x92\xa5 Mr. 360 clearly came out on \xf0\x9f\x94\x9d in this battle!\n\n\xf0\x9f\x93\xb8 BCCI/MI | #abdevilliers #devilliers #viratkohli #kohli #lasithmalin\xe2\x80\xa6',b'rcbfanarmy',"['abdevilliers', 'devilliers', 'viratkohli', 'kohli']",11325
2020-06-15 12:49:46,b'\xf0\x9f\x92\xa5 Mr. 360 clearly came out on \xf0\x9f\x94\x9d in this battle!\n\n\xf0\x9f\x93\xb8 BCCI/MI | #abdevilliers #devilliers #viratkohli #kohli\xe2\x80\xa6 https://t.co/YedB9ngfcg',b'teambangaloreIN',"['abdevilliers', 'devilliers', 'viratkohli', 'kohli']",502
2020-06-15 12:48:10,b'RT @GopiAAdhf: King @imVkohli \xe2\x9d\xa4\xef\xb8\x8f \n\nEdit :- @ViratSurendiran\nSuper Bro \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8c\xe2\x9d\xa4\xef\xb8\x8f!!\n\n#ViratKohli #Virat #Kohli https://t.co/hFcipghaDQ',b'i7sYDldIRgDBhzg',"['ViratKohli', 'Virat', 'Kohli']",17
2020-06-15 12:47:15,b'RT @WasimJaffer14: All time India ODI XI\n1 @sachin_rt\n2 @SGanguly99\n3 @ImRo45\n4 @imVkohli\n5 @YUVSTRONG12\n6 @msdhoni (wk/c)\n7 @therealkapild\xe2\x80\xa6',b'VibinVijay03',[],110
2020-06-15 12:01:11,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/uStVaar0pe',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-15 11:49:44,"b""RT @BunnyRo45: Let's Settle This Down\n\nConsider Batting,Captaincy,Records &amp; Everything..\n\nReply - #Kohli \nRetweet - #Dhoni \nLike - #RohitSh\xe2\x80\xa6""",b'OnlineVenki',"['Kohli', 'Dhoni']",355
2020-06-15 11:30:41,b'Most Sixes in Australia\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/yo6vSXll2g',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-15 11:08:41,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 11:07:54,b'RT @SportsUnplugge1: My view on @GautamGambhir statements of Indian cricket team lacking Mental Strength in Big Matches\n#gautamgambhir #koh\xe2\x80\xa6',b'charanjot22',['gautamgambhir'],88
2020-06-15 11:06:14,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 11:05:57,b'RT @mytentaran: Here\xe2\x80\x99s a roundup of all the sports events and news that created the buzz in India this week:\n\\\\https://t.co/Xb4JpQZXXg  \n#S\xe2\x80\xa6',b'krishandev89',[],198
2020-06-15 11:05:37,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 11:05:24,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 11:05:20,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 11:04:20,b'RT @mytentaran: Who will take screenshot?\n\nFollow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#Mitchell\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",198
2020-06-15 11:03:56,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 11:03:35,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 11:03:26,b'RT @mytentaran: Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc #JaspritBumrah\n#PatCu\xe2\x80\xa6',b'krishandev89',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc', 'JaspritBumrah']",198
2020-06-15 10:40:45,"b""RT @BunnyRo45: Let's Settle This Down\n\nConsider Batting,Captaincy,Records &amp; Everything..\n\nReply - #Kohli \nRetweet - #Dhoni \nLike - #RohitSh\xe2\x80\xa6""",b'Sarrinodu3',"['Kohli', 'Dhoni']",178
2020-06-15 10:39:54,b'My view on @GautamGambhir statements of Indian cricket team lacking Mental Strength in Big Matches\n#gautamgambhir\xe2\x80\xa6 https://t.co/3wTqYhShrT',b'SportsUnplugge1',['gautamgambhir'],4
2020-06-15 10:16:34,b'DYNAMIC LEADING INDIAN RUN SCORERS VIDEO GRAPHIC (1980-2020) https://t.co/Hb0jHYRbwe via @MyTwoCentsIndia\xe2\x80\xa6 https://t.co/Y01LJ5O1Ay',b'mytwocentsindia',[],27
2020-06-15 10:00:44,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/DYimz58Qtc',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-15 09:33:18,"b'Kohli sledged me for talking to his ex-girlfriend, reveals Compton #Kohli #ex-girlfriend #Compton https://t.co/gdklrOMG3f'",b'thehawk',"['Kohli', 'ex', 'Compton']",2064
2020-06-15 09:30:57,b'VVS Special\n\nFollow @TentaranSports for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\xe2\x80\xa6 https://t.co/wpclqrKMUb',b'TentaranSports',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma']",1058
2020-06-15 08:46:04,"b'#Kohli sledged me for talking to his ex-girlfriend, reveals Compton - https://t.co/0c9bZPEZsf'",b'sifydotcom',['Kohli'],15496
2020-06-15 08:00:28,b'Follow @mytentaran for More updates\n\n#SteveSmith #ViratKohli #DavidWarner #RohitSharma\n#MitchellStarc\xe2\x80\xa6 https://t.co/J30AtOzSj8',b'mytentaran',"['SteveSmith', 'ViratKohli', 'DavidWarner', 'RohitSharma', 'MitchellStarc']",1480
2020-06-15 07:48:13,"b""RT @BunnyRo45: Let's Settle This Down\n\nConsider Batting,Captaincy,Records &amp; Everything..\n\nReply - #Kohli \nRetweet - #Dhoni \nLike - #RohitSh\xe2\x80\xa6""",b'AlluArjunCultt',"['Kohli', 'Dhoni']",616
2020-06-15 07:47:29,b'@369_arjun @Offl_TheViper @pbwarrior143 @pbvkcult @_vi_hs_wa_T @PAnvesh4 @shivagoudAA2 @Mpgoutham1 @pavankalyanAllu\xe2\x80\xa6 https://t.co/vyyQN4Y79O',b'KoreanJokerKim',[],0
