Timestamp,Tweet,username,hashtags,followers_count
2020-06-16 12:31:50,b'Most ODI Hundreds by a Captain in Wins!\n.\n.\n.\n#RickyPonting #ViratKohli #abdevilliers #teamaustralia #teamindia\xe2\x80\xa6 https://t.co/XC2jWMIJ8W',b'Kheltalk_',"['RickyPonting', 'ViratKohli', 'abdevilliers', 'teamaustralia', 'teamindia']",8
2020-06-16 06:11:18,"b""@renew_economy @ScottMorrisonMP @AngusTaylorMP if Twiggy can set a zero target by 2040, why can't the Australian Fe\xe2\x80\xa6 https://t.co/xFpfdQOrl4""",b'marc_landy',[],7
2020-06-15 12:35:45,b'Bowlers to dismiss Batsmen for ducks on most occasions!\n.\n#GlennMcGrath #MuttiahMuralitharan #ShaneWarne #Stats\xe2\x80\xa6 https://t.co/MsNGDvBP5T',b'Kheltalk_',"['GlennMcGrath', 'MuttiahMuralitharan', 'ShaneWarne', 'Stats']",8
2020-06-13 15:31:47,"b'Warner Bros. Movieworld (Gold Coast, AUSTRALIA) https://t.co/yJfwpkxa4q #themepark #traveladvice #family #teamaustralia via @travelfeedio'",b'CryptoBengy',"['themepark', 'traveladvice', 'family', 'teamaustralia']",177
2020-06-12 07:33:25,b'June 20 1999 Team Australia Wins The 2nd World Cup Under Sir Steve Waugh Captaincy.\n#manofthematch - @shanewarne23\xe2\x80\xa6 https://t.co/PeftYjXHfe',b'worldcupheroes',['manofthematch'],0
2020-06-12 02:10:10,b'RT @deanprocter: NT Police doing it the Australian way. Kidnap the Aboriginal mothers and leave their babies to die.\n#TeamAustralia',b'Snarkathon',['TeamAustralia'],2718
2020-06-12 02:09:45,b'NT Police doing it the Australian way. Kidnap the Aboriginal mothers and leave their babies to die.\n#TeamAustralia',b'deanprocter',['TeamAustralia'],2704
2020-06-12 01:46:58,b'RT @4CC2021Sydney: A big thanks from #TeamAustralia for all your support during this event! We look forward to hosting you next year at #4C\xe2\x80\xa6',b'keijiyuzu1207',['TeamAustralia'],588
2020-06-11 16:09:02,b'RT @cricktrackers: Well Said By Sachin Tendulkar #sachintendulkar\xc2\xa0#rahuldravid\xc2\xa0#shreyasiyer\xc2\xa0#ishankishan\xc2\xa0#rishabhpant\xc2\xa0#shubhmangill\xc2\xa0#sanjus\xe2\x80\xa6',b'urpopssrk',"['sachintendulkar', 'rahuldravid', 'shreyasiyer', 'ishankishan', 'rishabhpant', 'shubhmangill']",91
2020-06-11 13:58:21,b'Well Said By Sachin Tendulkar #sachintendulkar\xc2\xa0#rahuldravid\xc2\xa0#shreyasiyer\xc2\xa0#ishankishan\xc2\xa0#rishabhpant\xc2\xa0#shubhmangill\xc2\xa0\xe2\x80\xa6 https://t.co/Z8Qkvrtbvz',b'cricktrackers',"['sachintendulkar', 'rahuldravid', 'shreyasiyer', 'ishankishan', 'rishabhpant', 'shubhmangill']",845
2020-06-11 07:47:08,b'Breaking news: #bocusedorasiapacific cancelled - #teamaustralia straight through to the grand finale in Lyon Januar\xe2\x80\xa6 https://t.co/80m5M3QtFm',b'Bocusedoraus',"['bocusedorasiapacific', 'teamaustralia']",551
2020-06-09 11:00:57,"b""@COVID_Australia I'm so proud of all of us in this country I could cry, amazing well done Aussies, my hope is that\xe2\x80\xa6 https://t.co/IwbmqKCUak""",b'LindaAHardy',[],644
2020-06-08 22:32:15,b'@MrCsandDs Nicole still carrying #teamaustralia',b'RealPhilGold',['teamaustralia'],87
